,X,landcover_map_year,treatment,Lat_long,crop_type,mean_yield_control_kgha,mean_yield_treatment_kgha,yield_SD_control,yield_SD_treatment,replicates_control_summed,replicates_treatment_summed,n_aggregated,ma_id,measurement_id,study_id,control_id,author_year,title,study_pubyear,harvest_year,region,country,yield_unit,soil_type,temperature,precipitation,climate_zone,LRR,LRR_vi,reference,longitude_decimal,latitude_decimal,country_new,crop_type_grouped_small,crop_type_grouped_big,publication_to_harvest_year_difference,harvest_year_by_median,nat.hab.1000,nat.hab.2500,nat.hab.5000,nat.hab.edgelength.1000,nat.hab.edgelength.2500,nat.hab.edgelength.5000,nat.hab.peri.area.ratio.1000,nat.hab.peri.area.ratio.2500,nat.hab.peri.area.ratio.5000,nat.hab.wo.grass.1000,nat.hab.wo.grass.2500,nat.hab.wo.grass.5000,nat.hab.wo.grass.edgelength.1000,nat.hab.wo.grass.edgelength.2500,nat.hab.wo.grass.edgelength.5000,nat.hab.wo.grass.peri.area.ratio.1000,nat.hab.wo.grass.peri.area.ratio.2500,nat.hab.wo.grass.peri.area.ratio.5000,cropland.1000,cropland.2500,cropland.5000,crop.peri.area.ratio.1000,crop.peri.area.ratio.2500,crop.peri.area.ratio.5000,crop.edgelength.1000,crop.edgelength.2500,crop.edgelength.5000,inert.1000,inert.2500,inert.5000,inert.edgelength.1000,inert.edgelength.2500,inert.edgelength.5000,inert.peri.area.ratio.1000,inert.peri.area.ratio.2500,inert.peri.area.ratio.5000,shannon.1000,shannon.2500,shannon.5000,simpsonsevenness.1000,simpsonsevenness.2500,simpsonsevenness.5000,SR,temp_avg_1970-2000,prec_avg_1970-2000
394,394,2002,organic fertilizer,31.74119.46,Rice,73500,66363.33333,NA,NA,3,3,3,D309,6670,110,1,Ou  et al. (2009),,2009,NA,Jiangsu,China,kg/hm-2,,,,,NA,NA,,119.46,31.74,China,Rice,Grains,NA,2002,0.065575753,0.077914532,0.06976236,696456.0463,5513807.933,16897903.12,3.424204636,3.650561922,3.123757662,0.062131255,0.076337104,0.068657936,662635.9667,5389975.69,16572332.44,3.438540658,3.642316468,3.112852761,0.616668119,0.792535025,0.808070361,0.692593101,0.415576051,0.356911842,1324708.657,6384728.36,22363740.91,0.317756128,0.129550443,0.122167279,863316.8705,5197301.242,18509864.39,0.875962623,2.06950052,1.953952585,0.414914487,0.42175,0.429394888,1.223097611,1.214361562,1.198233338,316.1200742,15.54981265,87.91666667
395,395,2002,treat organic vs contr conventional,36.810.1,Fruit,55550,34591.66667,23222.40298,62085.10288,49,48,12,A288,8187,91,1,Riahi et al.,Effect of conventional and organic production systems on the yield and quality of field tomato cultivars grown in Tunisia,2009,NA,,Tunisia,Mg/ha,,,,,-0.545016989,0.001113931,,10.1,36.8,Tunisia,Fruits,Fruits,NA,2002,0.000231629,0.002401394,0.086723562,1117.184174,111625.2178,2623188.027,1.553323814,2.395229574,0.389654435,0.000231629,0.002401394,0.086723562,1117.184174,111625.2178,2623188.027,1.553323814,2.395229574,0.389654435,0.172710777,0.266504212,0.357508624,1.958916349,1.00246711,0.60964462,1050520.54,5184727.896,16919049.39,0.827057594,0.731094394,0.555767814,1073183.139,4558197.268,13494683.51,0.417896628,0.321268321,0.31279271,0.713428404,0.759378786,1.071933572,1.636416558,1.677638284,2.070254188,267.1106816,18.49912508,40.75
396,396,2002,treat organic vs contr conventional,39.03-76.88,Cereals,6114.090909,4713.181818,3056.697564,2822.10914,84,88,22,A288,7827,15,1,Cavigelli et al.,Long-term economic performance of organic and conventional field crops in the mid-atlantic region,2009,NA,,USA,Mg/ha,,,,,-0.311587593,0.073293308,,-76.88,39.03,United States of America,Other Grains,Other Grains,NA,2002,0.563392935,0.626288653,0.542567987,1740130.408,7694912.982,33348162.81,0.994216861,0.632786789,0.791380114,0.416821849,0.535404687,0.481297005,899613.9702,4699272.457,25232602.76,0.694730619,0.452039817,0.675019435,0.341334305,0.215055985,0.123750612,0.856771627,0.754102571,1.354301976,908519.5758,3148862.673,13016537.71,0.095272759,0.158655363,0.333681402,541756.2763,3289023.846,16770097.18,1.830399686,1.067678507,0.647099349,1.605687864,1.564800571,1.612357961,3.84313096,3.91524161,3.889440317,299.9810208,12.83277083,94.5
397,397,2002,treat organic vs contr conventional,39.03-76.88,Oil Crops,3596,2848,1195.658814,1204.574614,56,40,10,A288,7836,15,10,Cavigelli et al.,Long-term economic performance of organic and conventional field crops in the mid-atlantic region,2009,NA,,USA,Mg/ha,,,,,-0.273094482,0.001493052,,-76.88,39.03,United States of America,Oilcrops,Oilcrops,NA,2002,0.563392935,0.626288653,0.542567987,1740130.408,7694912.982,33348162.81,0.994216861,0.632786789,0.791380114,0.416821849,0.535404687,0.481297005,899613.9702,4699272.457,25232602.76,0.694730619,0.452039817,0.675019435,0.341334305,0.215055985,0.123750612,0.856771627,0.754102571,1.354301976,908519.5758,3148862.673,13016537.71,0.095272759,0.158655363,0.333681402,541756.2763,3289023.846,16770097.18,1.830399686,1.067678507,0.647099349,1.605687864,1.564800571,1.612357961,3.84313096,3.91524161,3.889440317,299.9810208,12.83277083,94.5
398,398,2002,treat organic vs contr conventional,44.8715.18,Vegetables,23893.5,14250,6516.678601,6595.452979,12,12,4,A288,8377,77,1,Oplanic et al. ,Profitability of leek (Allium porrum L.) in three production systems,2009,NA,,Croatia,Mg/ha,,,,,-0.488664052,0.034985812,,15.18,44.87,Croatia,Vegetables,Vegetables,NA,2002,0.894518308,0.905293355,0.902520283,1584044.3,6531486.164,18584149.5,0.569244621,0.371074234,0.264766487,0.685127933,0.774597018,0.81647462,856242.6943,3322297.689,9056657.487,0.401740902,0.220597631,0.142627263,0.095640454,0.091617249,0.085869363,1.834047495,1.252807818,0.999314999,545671.6108,2231637.151,6673648.864,0.009841238,0.003089396,0.011610354,162498.9245,343478.8089,1626666.385,5.307885926,5.71826736,1.801483588,1.181424376,1.011051554,0.964285959,2.210673157,1.826464064,1.711937305,302.7812124,8.755333391,114.3333333
399,399,2002,treat organic vs contr conventional,53.57-113.52,Cereals,4443.333333,3416.666667,1075.096895,191.398363,3,3,1,A288,8139,54,1,Kaut et al.,Performance and stability of performance of spring wheat variety mixtures in organic and conventional management systems in western canada,2009,NA,,Canada,Mg/ha,,,,,-0.262739428,0.020560488,,-113.52,53.57,Canada,Other Grains,Other Grains,NA,2002,0.137146729,0.069103253,0.124216932,1005926.749,4316195.554,20700895.57,2.353032759,3.206027787,2.138514398,0.046648718,0.048617311,0.11352398,495486.1618,3483611.22,18389261.14,3.407523723,3.677929534,2.078645911,0.145880652,0.069988845,0.085962877,3.117052335,2.935542482,2.421357055,1417407.477,4002695.326,16220563.32,0.716972618,0.860907902,0.789820191,1176108.08,4094757.467,14880514.01,0.526249547,0.244138433,0.241765064,1.242976188,1.482614607,1.899825283,2.680292483,3.188267054,4.498168245,225.601089,3.062458475,39.75
400,400,2002,treat organic vs contr conventional,58.5525.57,Roots & Tubers,47000,13000,33941.1255,5099.019514,4,4,2,A288,8323,50,1,Jarvan & Edesi,The effect of cultivation methods on the yield and biological quality of potato,2009,NA,,Estonia,Mg/ha,,,,,-1.142097401,0.185931291,,25.57,58.55,Estonia,Tubercrops,Vegetables,NA,2002,0.102455472,0.411785812,0.530855219,425519.1488,4856876.804,19409056.72,1.330948443,0.604756367,0.468664854,0.100493325,0.407544621,0.526989102,386268.9148,4270600.478,17279212.21,1.23177058,0.537289706,0.420297061,0.854402263,0.575222373,0.461808409,0.243828381,0.266887815,0.284225714,650083.8266,2994123.946,10239792.46,0.043142264,0.012991815,0.007336372,602600.4257,1757778.885,3723272.925,4.476141249,6.937279041,6.505453874,0.676232024,1.377692632,1.492947269,1.376880135,2.69332817,3.291648914,239.9722271,5.444874982,54.83333333
401,401,2003,Biochar application,31.4119.68,Rice,8850,9875,NA,NA,12,12,4,D921,3153,10,1,Zhang et al. 2010,,2010,NA,,China,t/ha,,15.7,1177,,0.084260344,0.666666667,,119.68,31.4,China,Rice,Grains,NA,2003,0.116148926,0.202717673,0.217635594,1089906.324,6017102.565,25018019.22,3.02561698,1.531275289,1.48258462,0.101425881,0.196436361,0.212577647,928245.3613,5590254.728,23650474.23,2.950896473,1.468139042,1.434890472,0.726051311,0.641882947,0.653691788,0.543744464,0.616556483,0.578038312,1224396.8,7671340.078,29297675.14,0.157799763,0.15539938,0.128672618,842999.0383,4041729.779,14299954.55,1.722505865,1.341761924,1.43332612,0.539048002,0.79533002,0.805053106,1.339848886,1.66162732,1.689813044,330.3370205,15.77181248,90.5
402,402,2003,Cover crops,37.435-88.6711,Maize,9753.333333,9646.666667,NA,NA,18,18,3,D473,1482,9,1,,,2010,NA,,USA,Mg/ha,,14.95,1301.7,Temperate,NA,NA,,-88.6711,37.435,United States of America,Maize,Grains,NA,2003,0.913067997,0.921846099,0.905253368,1400841.974,7290616.029,25921485.74,0.494031524,0.407466415,0.368820386,0.490315228,0.592997367,0.672252646,862953.894,4590552.91,16871398.96,0.566736061,0.398839577,0.323253884,0.070851646,0.070978733,0.091319644,2.115547914,1.375879195,0.840094228,465483.3712,1895494.52,5956169.288,0.016080358,0.007175167,0.003426988,90269.94573,289871.4601,735997.5613,1.807657337,2.081418625,2.766234114,1.58765231,1.506017189,1.566195224,3.345127881,3.111724864,3.157193828,281.4146216,13.61322923,100.75
403,403,2003,Cover crops,40.367-81.8,Maize,8338.624,10138.688,NA,NA,1,1,1,D473,1619,53,1,,,2010,NA,,USA,Mg/ha,,11,1113.536,Cold,NA,NA,,-81.8,40.367,United States of America,Maize,Grains,NA,2003,0.860414863,0.842671621,0.794247556,1401574.733,8480179.823,32969995.33,0.524186478,0.518132993,0.534314107,0.573740825,0.593265656,0.581572222,591013.1254,4071301.468,15652795.37,0.331481145,0.35332845,0.346435106,0.136058564,0.154747863,0.202196983,1.543114585,1.276293151,0.964146912,652449.0482,3836017.201,15145521.87,0.003526573,0.002580516,0.003555461,39958.83222,184220.8384,981806.7547,3.64617367,3.675587508,3.554378947,1.321716598,1.344464866,1.358441464,2.869769298,2.9003915,2.975032566,250.6928153,9.983083415,83.25
404,404,2003,Liming,43.1166666666667-2.85,Grassland,3245,3422.5,1788.854382,1226.295234,12,12,4,D973,5017,55,1,Mijangos et al. 2010,,2010,NA,Basque,Spain,t/ha,Typic Dystrudept,10.1,2000,,0.246,0.049,,-2.85,43.11666667,Spain,Grassland,Grassland,NA,2003,0.998155943,0.983523387,0.972401695,512101.2054,2538085.725,8701667.189,0.164989643,0.132781653,0.115109836,0.998155943,0.983093414,0.972198958,512101.2054,2505773.435,8632182.597,0.164989643,0.131148549,0.114214473,0.001844057,0.015678063,0.02581335,1.851913365,1.526222624,1.319048416,10619.29861,465043.7633,2646972.545,0,0.00079855,0.001784955,0,84272.68161,623448.2816,NA,5.43001535,4.492921518,0.91130147,0.970571418,0.972880898,2.033234795,1.993390725,1.965838096,262.7352513,12.05602086,84.91666667
405,405,2003,Secondary and micronutrients,27.1108.43,Rice,72196.66667,79920,NA,NA,3,3,3,D309,6957,183,1,Yang  et al. (2010),,2010,NA,Guizhou,China,kg/hm-2,,,,,NA,NA,,108.43,27.1,China,Rice,Grains,NA,2003,0.787731748,0.864923802,0.888245017,691668.3227,3742767.078,14778230.78,0.283355705,0.223431664,0.214762543,0.783477623,0.851803727,0.875669433,648753.2444,3063326.54,12394979.91,0.267217791,0.185687866,0.182715129,0.181621871,0.124856023,0.104071901,0.747634256,0.692736966,0.688552212,420770.1427,1675128.358,5551386.873,0.030646381,0.010220175,0.007683082,261409.9712,640005.6324,1688393.483,2.752677811,3.233368616,2.836658764,1.204059895,1.058943651,1.101901938,2.426912484,1.9899624,2.055841171,453.9281297,15.29229156,95.66666667
406,406,2003,Secondary and micronutrients,27.19108.49,Rice,80820,86310,NA,NA,3,3,3,D309,6960,183,4,Yang  et al. (2010),,2010,NA,Guizhou,China,kg/hm-2,,,,,NA,NA,,108.49,27.19,China,Rice,Grains,NA,2003,0.647278027,0.823220771,0.867414693,630568.6715,2751507.536,11953253.48,0.31437416,0.172574567,0.177877407,0.640072813,0.813363517,0.854487883,578248.1537,2284371.848,9447077.012,0.291534657,0.145012192,0.142709532,0.323066237,0.167679887,0.128689463,0.353677073,0.350986434,0.431159133,354073.2881,1139853.136,4298521.906,0.029655736,0.009099342,0.003895844,163499.9614,424345.4931,909724.237,1.77915697,2.407864421,3.014183353,1.380604835,1.157412033,1.135196901,3.070369847,2.214817771,2.176823811,450.0842676,15.02400013,96.16666667
407,407,2003,Secondary and micronutrients,30.64107.74,Rice,90100,91630,NA,NA,1,1,1,D309,7143,147,1,Unpublished study (2010),,2010,NA,Zhongqing,China,kg/hm-2,,,,,NA,NA,,107.74,30.64,China,Rice,Grains,NA,2003,0.142730119,0.06778978,0.16293734,541284.4172,1713643.289,6131262.078,1.222977423,1.304313184,0.485393579,0.142730119,0.06778978,0.162817891,541284.4172,1713643.289,6100462.099,1.222977423,1.304313184,0.483309553,0.821506422,0.890970772,0.780214727,0.321265324,0.213495972,0.232003595,818401.2255,3686612.249,14032792.01,0.035763459,0.041239448,0.056847933,422301.0903,3352919.768,12848169.32,3.807949974,4.195038955,2.915354312,0.909321624,0.967258954,1.201026299,2.030419265,2.290457577,2.817492041,345.8282877,16.48314579,105.5
408,408,2003,Secondary and micronutrients,30.69103.68,Rice,65530,64115,NA,NA,2,2,2,D309,7061,147,1,Unpublished study (2010),,2010,NA,Sichuan,China,kg/hm-2,,,,,NA,NA,,103.68,30.69,China,Rice,Grains,NA,2003,0,0,0.014655036,0,0,2108141.982,NA,NA,1.855552615,0,0,0.009727941,0,0,1289743.48,NA,NA,1.710183608,0.952676807,0.931294755,0.873726741,0.165126479,0.191097407,0.273964254,487818.9443,3449218.709,18557061.95,0.047323193,0.068705245,0.111618223,656475.8265,4637582.809,19861750.38,4.473509358,3.48275561,2.295317278,0.309099376,0.35252278,0.542435034,1.202601831,1.250464709,1.416341954,426.0500877,16.22318749,87.33333333
409,409,2003,Slow-release fertilizer,22.67749511113.4181998,Rice,54500,58250,NA,NA,1,1,1,D309,7261,147,12,Unpublished study (2010),,2010,NA,Guangdong,China,kg/hm-2,,,,,NA,NA,,113.4181998,22.67749511,China,Rice,Grains,NA,2003,0.005792048,0.038882478,0.184171391,69272.85053,2189664.775,26823540.25,3.862660479,2.91002237,1.881506043,0.005792048,0.038882478,0.184171391,69272.85053,2189664.775,26823540.25,3.862660479,2.91002237,1.881506043,0.304960688,0.556145533,0.592412928,1.557513083,0.827687164,0.785357391,1470685.821,8908037.541,36014730.98,0.689247264,0.404971989,0.223415681,977639.6295,5611012.03,16098107.95,0.458099064,0.715960149,0.930835356,0.220779923,0.430965167,0.870321449,1.091676127,1.202851424,1.71872412,542.0511483,22.44529136,150.6666667
410,410,2003,Slow-release fertilizer,25.06521958110.3080981,Rice,64520,70550,NA,NA,2,2,2,D309,7259,147,10,Unpublished study (2010),,2010,NA,Guangdong,China,kg/hm-2,,,,,NA,NA,,110.3080981,25.06521958,China,Rice,Grains,NA,2003,0.136077529,0.253364162,0.262549677,591325.486,4680717.037,16738579.8,1.402866557,0.95424585,0.823264223,0.136077529,0.253364162,0.262528707,591325.486,4680717.037,16733602.31,1.402866557,0.95424585,0.82308515,0.711775586,0.66530871,0.677374364,0.511540699,0.386524641,0.315499159,1127838.98,4978600.951,16549879.62,0.152146885,0.081327129,0.06007596,1277283.037,4624257.51,13545516.96,2.710193243,2.93697093,2.91156836,1.155765263,1.333590978,1.35648301,2.621926689,3.26678343,3.291181894,517.6030591,19.35691659,152.8333333
411,411,2003,Slow-release fertilizer,26.438993115.297453,Rice,66920,72915,NA,NA,2,2,2,D309,7303,12,2,Chen  et al. (2010),,2010,NA,Jiangxi,China,kg/hm-2,,,,,NA,NA,,115.297453,26.438993,China,Rice,Grains,NA,2003,0.153416889,0.261442545,0.505060441,587756.556,3157098.258,14213191.58,1.23649172,0.623585018,0.363304809,0.152898818,0.261359654,0.50501899,581906.5575,3151248.259,14201599.41,1.228332732,0.62262694,0.363038296,0.675548471,0.624500056,0.435768365,0.483559195,0.409971508,0.399688804,1012136.901,4957952.042,13491330.83,0.17103464,0.114057399,0.059171194,965481.2539,5071241.162,11335118.38,1.82190895,2.296014551,2.473082566,1.198832933,1.306874019,1.382975921,2.781573397,3.291771622,3.523545398,444.11279,17.96266651,130.4166667
412,412,2003,Slow-release fertilizer,26.45111.52,Rice,53750,61500,NA,NA,2,2,2,D309,7298,147,8,Unpublished study (2010),,2010,NA,Hunan,China,kg/hm-2,,,,,NA,NA,,111.52,26.45,China,Rice,Grains,NA,2003,0.377049516,0.484700191,0.413188851,690889.6768,4598884.469,16365528.03,0.591392978,0.48996187,0.511332568,0.377049516,0.484700191,0.413188851,690889.6768,4598884.469,16365528.03,0.591392978,0.48996187,0.511332568,0.619897065,0.506988045,0.554381869,0.240112435,0.300129453,0.308703996,461177.7907,2946614.759,13256511.22,0.00305342,0.008311764,0.03242928,68444.13146,805698.8809,6015940.464,7.234617117,5.005673936,2.394904762,1.279898969,1.405833088,1.420770077,3.140834461,3.763762983,3.936705547,407.4268686,18.18129166,113.5833333
413,413,2003,Slow-release fertilizer,27.19407448107.4858067,Rice,79010,72180,NA,NA,1,1,1,D309,7335,176,3,Xu  et al. (2010),,2010,NA,Guizhou,China,kg/hm-2,,,,,NA,NA,,107.4858067,27.19407448,China,Rice,Grains,NA,2003,0.510976589,0.529319024,0.643455558,632347.8212,3833178.095,15711706.87,0.399355855,0.373906926,0.315185261,0.508660783,0.526834743,0.63935514,598542.4216,3646742.051,14782969.71,0.379727206,0.357398441,0.298456207,0.449990635,0.456036825,0.347704466,0.349276223,0.260642715,0.329144932,487043.178,2302096.31,8866176.071,0.039032776,0.014644151,0.008839976,227484.6903,1046325.432,2661581.932,1.880735717,3.689135469,3.886420957,1.209680931,1.259353216,1.283394272,2.814896423,2.987432152,2.973270858,462.0854575,15.02374999,92.5
414,414,2003,Slow-release fertilizer,27.35385386108.9505671,Rice,60840,64845,NA,NA,2,2,2,D309,7333,176,1,Xu  et al. (2010),,2010,NA,Guizhou,China,kg/hm-2,,,,,NA,NA,,108.9505671,27.35385386,China,Rice,Grains,NA,2003,0.176414977,0.279998233,0.435868151,680675.6415,3756874.197,16312530.33,1.245078668,0.692755744,0.483074436,0.154127741,0.257599513,0.417164104,393541.3291,2776670.731,12776873.59,0.823951349,0.556529408,0.395335238,0.793230086,0.680654482,0.536397213,0.211574403,0.276298385,0.296928287,520080.1372,3642472.497,12339291.55,0.030354936,0.039347285,0.027734636,205541.0461,2001218.762,5904295.415,2.185049454,2.625962812,2.747852861,1.028100906,1.341845293,1.457355482,1.883990559,2.78753392,3.468101664,436.5661998,15.97724986,98.25
415,415,2003,Slow-release fertilizer,28.1281148113.2020092,Rice,68670,73970,NA,NA,1,1,1,D309,7293,147,3,Unpublished study (2010),,2010,NA,Hunan,China,kg/hm-2,,,,,NA,NA,,113.2020092,28.1281148,China,Rice,Grains,NA,2003,0.444992526,0.343126336,0.361568179,1128863.823,5407885.99,20563765.91,0.818493948,0.813612211,0.73399899,0.444992526,0.343126336,0.361568179,1128863.823,5407885.99,20563765.91,0.818493948,0.813612211,0.73399899,0.510210039,0.59429556,0.575884922,0.597730642,0.465909613,0.452609275,945209.0822,5363646.82,20196501.4,0.044797434,0.062578104,0.062546898,606822.0829,4151703.251,16587030.27,4.370537674,3.424899912,3.422519029,1.444092181,1.362781157,1.386122071,3.932293482,3.400567946,3.572432637,349.6237264,17.41993737,117.9166667
416,416,2003,Slow-release fertilizer,28.14303765113.2240034,Rice,65100,69870,NA,NA,1,1,1,D309,7291,147,1,Unpublished study (2010),,2010,NA,Hunan,China,kg/hm-2,,,,,NA,NA,,113.2240034,28.14303765,China,Rice,Grains,NA,2003,0.238729577,0.247917178,0.313424765,815316.3947,4904729.408,19545199.88,1.101908595,1.021294676,0.804801095,0.238729577,0.247917178,0.313404364,815316.3947,4904729.408,19535689.78,1.101908595,1.021294676,0.804461867,0.666728976,0.670386959,0.618838901,0.455479372,0.43732078,0.430418681,941222.7567,5679146.033,20638919.97,0.094541446,0.081695862,0.067736334,827329.801,4928924.086,17722241.67,2.823462672,3.114545669,3.376593032,1.183957488,1.278590788,1.351175561,2.467560126,2.83879586,3.298664291,351.7871143,17.41993737,117.9166667
417,417,2003,Slow-release fertilizer,28.14303765113.2250034,Rice,77330,82330,NA,NA,1,1,1,D309,7292,147,2,Unpublished study (2010),,2010,NA,Hunan,China,kg/hm-2,,,,,NA,NA,,113.2250034,28.14303765,China,Rice,Grains,NA,2003,0.244692308,0.251966782,0.315026062,807455.7902,4896848.785,19581653.41,1.064692021,1.003265851,0.802203637,0.244692308,0.251966782,0.315005661,807455.7902,4896848.785,19572143.3,1.064692021,1.003265851,0.801865966,0.656742359,0.667270035,0.617582008,0.460407612,0.436979757,0.430820034,937156.1499,5648333.287,20616207.38,0.098565333,0.080763183,0.06739193,899013.3882,4881819.618,17618190.38,2.942845957,3.12040472,3.373922927,1.18744086,1.286092106,1.35376712,2.497749104,2.878572841,3.312391863,351.7871143,17.41993737,117.9166667
418,418,2003,Slow-release fertilizer,28.29061053113.8554745,Rice,55590,58340,NA,NA,1,1,1,D309,7294,147,4,Unpublished study (2010),,2010,NA,Hunan,China,kg/hm-2,,,,,NA,NA,,113.8554745,28.29061053,China,Rice,Grains,NA,2003,0.389078861,0.418220946,0.62086999,758947.2881,4147942.669,18485036.7,0.629341703,0.511984842,0.384227907,0.388824122,0.418139432,0.620849611,756598.4176,4141308.34,18478402.37,0.627804988,0.511265609,0.384102613,0.442877347,0.437672214,0.302838805,0.771957784,0.619598631,0.570617876,1059654.983,5253264.741,13390217.78,0.168043792,0.14410684,0.076291206,871950.8584,3737624.06,10218823.82,1.674102595,1.338878478,1.728604695,1.329343309,1.433201536,1.407427627,3.559675401,3.73866486,3.4215597,365.7886202,16.60295848,125.4166667
419,419,2003,Slow-release fertilizer,28.29080153113.8551965,Rice,55590,58340,NA,NA,1,1,1,D309,7296,147,6,Unpublished study (2010),,2010,NA,Hunan,China,kg/hm-2,,,,,NA,NA,,113.8551965,28.29080153,China,Rice,Grains,NA,2003,0.382030981,0.413869891,0.618778188,745723.2443,4151848.604,18483335.57,0.629784823,0.517854666,0.385491325,0.381776242,0.413788377,0.61875781,743374.3738,4145214.275,18476701.24,0.628220033,0.517129026,0.38536565,0.446729299,0.44043079,0.304529185,0.773568194,0.621123667,0.570397609,1071099.823,5299385.746,13459761.32,0.17123972,0.145699319,0.076692627,880303.6804,3816154.895,10330671.46,1.658597867,1.352068484,1.73837791,1.330001142,1.433821325,1.409194631,3.567652204,3.740704358,3.433548285,365.7886202,16.60295848,125.4166667
420,420,2003,Slow-release fertilizer,28.421445115.874571,Rice,68850,71050,NA,NA,1,1,1,D309,7302,12,1,Chen  et al. (2010),,2010,NA,Jiangxi,China,kg/hm-2,,,,,NA,NA,,115.874571,28.421445,China,Rice,Grains,NA,2003,0.052278564,0.059268212,0.070177905,609898.7413,3288524.573,12583553.74,3.763880315,2.864167082,2.313987735,0.052024118,0.059227501,0.069988622,605119.9481,3283745.78,12527047.84,3.752653474,2.861970832,2.309826905,0.799484716,0.797917584,0.826999007,0.40018924,0.369678023,0.296316605,991685.2454,5714294.009,18989032.32,0.148236719,0.142814204,0.102823088,1044075.383,5070216.319,16869504.72,2.272363382,1.832627387,2.117238757,0.309549958,0.37523751,0.426992936,1.150882093,1.183798557,1.207989646,372.0412007,17.98291651,131.9166667
421,421,2003,Slow-release fertilizer,28.50409029112.5060311,Rice,64900,67350,NA,NA,1,1,1,D309,7297,147,7,Unpublished study (2010),,2010,NA,Hunan,China,kg/hm-2,,,,,NA,NA,,112.5060311,28.50409029,China,Rice,Grains,NA,2003,0.039890538,0.111106515,0.168761464,599313.626,3418576.568,14265741.5,4.847062277,1.588246137,1.090867899,0.039890538,0.111106515,0.168761464,599313.626,3418576.568,14265741.5,4.847062277,1.588246137,1.090867899,0.901411235,0.819553448,0.767312818,0.225734654,0.279342227,0.288378593,630705.8502,4435084.015,17146851.12,0.058698227,0.069340037,0.063925718,850131.8433,4730810.528,17234649.61,4.672568156,3.521790393,3.479188316,0.21966469,0.614616716,0.818353144,1.093565713,1.343638668,1.573503696,343.0736044,17.48891683,111.3333333
422,422,2003,Slow-release fertilizer,28.53069444112.6640278,Rice,63300,64490,NA,NA,1,1,1,D309,7295,147,5,Unpublished study (2010),,2010,NA,Hunan,China,kg/hm-2,,,,,NA,NA,,112.6640278,28.53069444,China,Rice,Grains,NA,2003,0.017353191,0.063577664,0.116610893,243800.7616,2637789.877,12673399.74,4.532610359,2.141634846,1.402499998,0.017353191,0.063577664,0.116610893,243800.7616,2637789.877,12673399.74,4.532610359,2.141634846,1.402499998,0.883909475,0.830810152,0.778276108,0.31033956,0.396733468,0.439330898,850260.969,6385440.207,26495772.74,0.098737333,0.105612184,0.105112999,918589.9995,6931427.873,23987602.3,3.001463078,3.387805548,2.944959106,0.119063776,0.368281076,0.542469186,1.040998092,1.176525704,1.323217249,343.0736044,17.48891683,111.3333333
423,423,2003,Slow-release fertilizer,29.02194444119.4766667,Rice,66610,67760,NA,NA,1,1,1,D309,7498,121,1,Shi  et al. (2010),,2010,NA,Zhejiang,China,kg/hm-2,,,,,NA,NA,,119.4766667,29.02194444,China,Rice,Grains,NA,2003,0.144629031,0.141067851,0.29560924,418892.0046,2243662.072,9993022.999,0.934323731,0.820912812,0.436199934,0.144629031,0.141067851,0.295558639,418892.0046,2243662.072,9982738.315,0.934323731,0.820912812,0.435825605,0.763563663,0.738996173,0.587179416,0.285448601,0.273110168,0.338571616,675650.9424,3910321.107,15406878.47,0.091807306,0.119935976,0.117211344,565081.4791,4342485.827,14943583.49,1.985567319,1.868773086,1.645098175,0.872128219,0.794602335,1.086138537,1.846440558,1.651969872,2.307548927,431.9838694,17.53602064,122.9166667
424,424,2003,Slow-release fertilizer,29.16340551111.3695369,Rice,77225,79060,NA,NA,4,4,4,D309,7196,97,5,Lv  et al. (2010),,2010,NA,Zhejiang,China,kg/hm-2,,,,,NA,NA,,111.3695369,29.16340551,China,Rice,Grains,NA,2003,0.064230401,0.10925412,0.137226362,322136.0666,2052272.997,9422812.264,1.61784431,0.9695112,0.886007723,0.064230401,0.10925412,0.137226362,322136.0666,2052272.997,9422812.264,1.61784431,0.9695112,0.886007723,0.907582605,0.861200923,0.813886863,0.164666277,0.183496595,0.217689247,463289.8912,3061801.101,13731136.96,0.028186995,0.029544957,0.048886775,396679.3791,2786020.462,11972497.41,4.539717788,4.866945258,3.16000579,0.734557214,0.893943313,0.975669722,1.633020561,1.950032616,2.079708307,349.1441591,17.11618757,108.0833333
425,425,2003,Slow-release fertilizer,29.75416667105.8411111,Rice,94660,94190,NA,NA,1,1,1,D309,7499,121,2,Shi  et al. (2010),,2010,NA,Zhongqing,China,kg/hm-2,,,,,NA,NA,,105.8411111,29.75416667,China,Rice,Grains,NA,2003,0.027405035,0.049306517,0.121605573,184874.3849,1388514.334,8731976.027,2.175870217,1.453282228,0.926407582,0.027405035,0.049306517,0.121605573,184874.3849,1388514.334,8731976.027,2.175870217,1.453282228,0.926407582,0.96668447,0.943499425,0.86698556,0.089588124,0.085493011,0.11767589,268502.648,1563033.645,7907811.538,0.005910495,0.007194058,0.011408867,161410.0203,1076876.928,4977696.032,8.808323501,7.724957018,5.628969308,0.674437408,0.674820004,0.826628232,1.565076828,1.513764622,1.716221621,354.5270288,17.85383304,91
