"","DatasetID","Source","Country","SiteRegion","Latitude","Longitude","Croptype","Treatment","QualityOfDataPoint","Coordinate_format","ControlTreatm","Yield_mean","Yield_median","Yield_se","ObjectID"
"917","D309","Unpublished study (2007)","China","Jilin",42.96816384,126.7545706,"Rice","Straw addition",NA,NA,"Control",5620,5620,NA,917
"918","D309","Unpublished study (2007)","China","Jilin",42.96816384,126.7545706,"Rice","Straw addition",NA,NA,"Treatment",6743,6743,NA,918
"919","D309","Unpublished study (2007)","China","Jilin",42.96816384,126.7545706,"Single Rice","Straw addition",NA,NA,"Control",5620,5620,NA,919
"920","D309","Unpublished study (2007)","China","Jilin",42.96816384,126.7545706,"Single Rice","Straw addition",NA,NA,"Treatment",6743,6743,NA,920
"921","D309","Unpublished study (2007)","China","Sichuan",30.62,103.65,"Rice","Straw addition",NA,NA,"Control",7380,7380,NA,921
"922","D309","Unpublished study (2007)","China","Sichuan",30.62,103.65,"Rice","Straw addition",NA,NA,"Treatment",7273,7273,NA,922
"923","D309","Unpublished study (2007)","China","Zhongqing",29.54,106.79,"Rice","Straw addition",NA,NA,"Control",7405,7405,0,923
"924","D309","Unpublished study (2007)","China","Zhongqing",29.54,106.79,"Rice","Straw addition",NA,NA,"Treatment",6848,6848,375,924
"925","D309","Unpublished study (2008)","China","Hubei",30.36666667,112.6166667,"Rice","Straw addition",NA,NA,"Control",7604.16666675,7395.8333335,247.966264728263,925
"926","D309","Unpublished study (2008)","China","Hubei",30.36666667,112.6166667,"Rice","Straw addition",NA,NA,"Treatment",7486.97916675,7617.1875,154.97891560832,926
"927","D309","Unpublished study (2008)","China","Shanghai",31.71,121.38,"Rice","Straw addition",NA,NA,"Control",9176,9176,NA,927
"928","D309","Unpublished study (2008)","China","Shanghai",31.71,121.38,"Rice","Straw addition",NA,NA,"Treatment",9654,9654,NA,928
"929","D309","Unpublished study (2008)","China","Sichuan",30.61,103.65,"Rice","Straw addition",NA,NA,"Control",7000,7000,NA,929
"930","D309","Unpublished study (2008)","China","Sichuan",30.61,103.65,"Rice","Straw addition",NA,NA,"Treatment",6791,6791,NA,930
"931","D309","Unpublished study (2008)","China","Zhongqing",29.23982718,106.9989334,"Rice","Straw addition",NA,NA,"Control",10233.6666666667,10059,119.432733276007,931
"932","D309","Unpublished study (2008)","China","Zhongqing",29.23982718,106.9989334,"Rice","Straw addition",NA,NA,"Treatment",11352.1666666667,11324.5,340.416158710351,932
"933","D309","Unpublished study (2008)","China","Zhongqing",29.24,106.99,"Rice","Straw addition",NA,NA,"Control",8483,8483,0,933
"934","D309","Unpublished study (2008)","China","Zhongqing",29.24,106.99,"Rice","Straw addition",NA,NA,"Treatment",8559,8559,11,934
"935","D309","Unpublished study (2008)","China","Zhongqing",30.69,107.72,"Rice","Straw addition",NA,NA,"Control",8483,8483,NA,935
"936","D309","Unpublished study (2008)","China","Zhongqing",30.69,107.72,"Rice","Straw addition",NA,NA,"Treatment",8548,8548,NA,936
"937","D309","Unpublished study (2009)","China","Hubei",30.36666667,112.6166667,"Rice","Straw addition",NA,NA,"Control",8606.77083325,8437.5,283.981558988662,937
"938","D309","Unpublished study (2009)","China","Hubei",30.36666667,112.6166667,"Rice","Straw addition",NA,NA,"Treatment",8815.10416675,8723.9583335,147.888238179219,938
"939","D309","Unpublished study (2009)","China","Jiangxi",28.36,115.92,"Rice","Straw addition",NA,NA,"Control",6169.1,6422.566667,189.833711236646,939
"940","D309","Unpublished study (2009)","China","Jiangxi",28.36,115.92,"Rice","Straw addition",NA,NA,"Treatment",4967.57222216667,5089.0166665,220.927362469932,940
"941","D309","Unpublished study (2009)","China","Sichuan",30.61,103.65,"Rice","Straw addition",NA,NA,"Control",7583,7583,NA,941
"942","D309","Unpublished study (2009)","China","Sichuan",30.61,103.65,"Rice","Straw addition",NA,NA,"Treatment",7267,7267,NA,942
"943","D309","Unpublished study (2009)","China","Zhongqing",29.8766715,106.3651631,"Rice","Straw addition",NA,NA,"Control",8726,8806,128.532627622858,943
"944","D309","Unpublished study (2009)","China","Zhongqing",29.8766715,106.3651631,"Rice","Straw addition",NA,NA,"Treatment",9026.25,8907.5,125.505410060863,944
"945","D309","Unpublished study (2009)","China","Zhongqing",29.87771343,106.3676093,"Rice","Straw addition",NA,NA,"Control",9084.75,9022.5,117.937266644756,945
"946","D309","Unpublished study (2009)","China","Zhongqing",29.87771343,106.3676093,"Rice","Straw addition",NA,NA,"Treatment",9245.41666666667,9289.5,87.9099451688827,946
"947","D309","Unpublished study (2009)","China","Zhongqing",30.24,107.99,"Rice","Straw addition",NA,NA,"Control",7638,7638,0,947
"948","D309","Unpublished study (2009)","China","Zhongqing",30.24,107.99,"Rice","Straw addition",NA,NA,"Treatment",7438,7438,775,948
"949","D309","Unpublished study (2010)","China","Jiangxi",28.36,115.92,"Rice","Straw addition",NA,NA,"Control",4420,4420,0,949
"950","D309","Unpublished study (2010)","China","Jiangxi",28.36,115.92,"Rice","Straw addition",NA,NA,"Treatment",2835.55,2835.55,746.683333,950
"951","D309","Unpublished study (2010)","China","Sichuan",30.68843935,103.7290718,"Rice","Straw addition",NA,NA,"Control",6351.625,6782.5,147.052623092325,951
"952","D309","Unpublished study (2010)","China","Sichuan",30.68843935,103.7290718,"Rice","Straw addition",NA,NA,"Treatment",6399.08333333333,6116,142.584934218814,952
"953","D309","Unpublished study (2010)","China","Sichuan",30.69,103.68,"Rice","Straw addition",NA,NA,"Control",6553,6553,0,953
"954","D309","Unpublished study (2010)","China","Sichuan",30.69,103.68,"Rice","Straw addition",NA,NA,"Treatment",6411.5,6411.5,175.5,954
"955","D309","Unpublished study (2010)","China","Zhongqing",29.8489448,106.4477777,"Rice","Straw addition",NA,NA,"Control",7037.25,7186,184.194401792007,955
"956","D309","Unpublished study (2010)","China","Zhongqing",29.8489448,106.4477777,"Rice","Straw addition",NA,NA,"Treatment",7624.75,7549.5,178.311912831352,956
"957","D309","Unpublished study (2010)","China","Zhongqing",30.64,107.74,"Rice","Straw addition",NA,NA,"Control",9010,9010,NA,957
"958","D309","Unpublished study (2010)","China","Zhongqing",30.64,107.74,"Rice","Straw addition",NA,NA,"Treatment",9163,9163,NA,958
"959","D309","Unpublished study (2011)","China","Anhui",31.64,117.21,"Rice","Straw addition",NA,NA,"Control",7233.1666665,7233.1666665,0.166666499999792,959
"960","D309","Unpublished study (2011)","China","Anhui",31.64,117.21,"Rice","Straw addition",NA,NA,"Treatment",7756.6666665,7756.6666665,368.6666665,960
"961","D309","Unpublished study (2011)","China","Heilongjiang",45.79,128.61,"Rice","Straw addition",NA,NA,"Control",8616.8333335,8616.8333335,0.166666500000247,961
"962","D309","Unpublished study (2011)","China","Heilongjiang",45.79,128.61,"Rice","Straw addition",NA,NA,"Treatment",9862.6666665,9862.6666665,429.3333335,962
"963","D309","Unpublished study (2011)","China","Heilongjiang",45.87,128.81,"Rice","Straw addition",NA,NA,"Control",8491.8333335,8491.8333335,0.166666500000247,963
"964","D309","Unpublished study (2011)","China","Heilongjiang",45.87,128.81,"Rice","Straw addition",NA,NA,"Treatment",9850,9850,400,964
"965","D309","Unpublished study (2011)","China","Heilongjiang",46.93,127.66,"Rice","Straw addition",NA,NA,"Control",8358.1666665,8358.1666665,0.166666500000247,965
"966","D309","Unpublished study (2011)","China","Heilongjiang",46.93,127.66,"Rice","Straw addition",NA,NA,"Treatment",10487.5,10487.5,237.5,966
"967","D309","Unpublished study (2011)","China","Hubei",30.43,112.76,"Rice","Straw addition",NA,NA,"Control",8152.233333,8152.233333,NA,967
"968","D309","Unpublished study (2011)","China","Hubei",30.43,112.76,"Rice","Straw addition",NA,NA,"Treatment",7788.866667,7788.866667,NA,968
"969","D309","Unpublished study (2011)","China","Hubei",30.59,112.95,"Rice","Straw addition",NA,NA,"Control",8578.9,8578.9,NA,969
"970","D309","Unpublished study (2011)","China","Hubei",30.59,112.95,"Rice","Straw addition",NA,NA,"Treatment",8785.566667,8785.566667,NA,970
"971","D309","Unpublished study (2011)","China","Hubei",31.01,112.32,"Rice","Straw addition",NA,NA,"Control",9814.466667,9814.466667,NA,971
"972","D309","Unpublished study (2011)","China","Hubei",31.01,112.32,"Rice","Straw addition",NA,NA,"Treatment",10191.13333,10191.13333,NA,972
"973","D309","Unpublished study (2011)","China","Hubei",31.05,112.33,"Rice","Straw addition",NA,NA,"Control",8471.133333,8471.133333,NA,973
"974","D309","Unpublished study (2011)","China","Hubei",31.05,112.33,"Rice","Straw addition",NA,NA,"Treatment",8930,8930,NA,974
"975","D309","Unpublished study (2011)","China","Hunan",28.03,112.7,"Rice","Straw addition",NA,NA,"Control",8042.6,8042.6,NA,975
"976","D309","Unpublished study (2011)","China","Hunan",28.03,112.7,"Rice","Straw addition",NA,NA,"Treatment",7800,7800,NA,976
"977","D309","Unpublished study (2011)","China","Hunan",28.07,112.61,"Rice","Straw addition",NA,NA,"Control",7985.2,7985.2,NA,977
"978","D309","Unpublished study (2011)","China","Hunan",28.07,112.61,"Rice","Straw addition",NA,NA,"Treatment",7607.4,7607.4,NA,978
"979","D309","Unpublished study (2011)","China","Hunan",28.39,112.2,"Rice","Straw addition",NA,NA,"Control",7609.066667,7609.066667,NA,979
"980","D309","Unpublished study (2011)","China","Hunan",28.39,112.2,"Rice","Straw addition",NA,NA,"Treatment",7236.7,7236.7,NA,980
"981","D309","Unpublished study (2011)","China","Hunan",28.47,112.22,"Rice","Straw addition",NA,NA,"Control",7216.266667,7216.266667,NA,981
"982","D309","Unpublished study (2011)","China","Hunan",28.47,112.22,"Rice","Straw addition",NA,NA,"Treatment",6526,6526,NA,982
"983","D309","Unpublished study (2011)","China","Jiangsu",28.43,111.93,"Rice","Straw addition",NA,NA,"Control",9911.766667,9911.766667,NA,983
"984","D309","Unpublished study (2011)","China","Jiangsu",28.43,111.93,"Rice","Straw addition",NA,NA,"Treatment",9873.533333,9873.533333,NA,984
"985","D309","Unpublished study (2011)","China","Jiangsu",32.01,119.46,"Rice","Straw addition",NA,NA,"Control",8558.333333,8558.333333,NA,985
"986","D309","Unpublished study (2011)","China","Jiangsu",32.01,119.46,"Rice","Straw addition",NA,NA,"Treatment",8666.733333,8666.733333,NA,986
"987","D309","Unpublished study (2011)","China","Jiangsu",32.49,119.99,"Rice","Straw addition",NA,NA,"Control",8889.9,8889.9,NA,987
"988","D309","Unpublished study (2011)","China","Jiangsu",32.49,119.99,"Rice","Straw addition",NA,NA,"Treatment",8713.666667,8713.666667,NA,988
"989","D309","Unpublished study (2011)","China","Jiangsu",32.51,120.01,"Rice","Straw addition",NA,NA,"Control",9081.3,9081.3,NA,989
"990","D309","Unpublished study (2011)","China","Jiangsu",32.51,120.01,"Rice","Straw addition",NA,NA,"Treatment",8901.466667,8901.466667,NA,990
"991","D309","Unpublished study (2011)","China","Jiangxi",23.05,107.36,"Rice","Straw addition",NA,NA,"Control",5312,5312,NA,991
"992","D309","Unpublished study (2011)","China","Jiangxi",23.05,107.36,"Rice","Straw addition",NA,NA,"Treatment",5320,5320,NA,992
"993","D309","Unpublished study (2011)","China","Jiangxi",25.29,103.07,"Rice","Straw addition",NA,NA,"Control",11869,11869,NA,993
"994","D309","Unpublished study (2011)","China","Jiangxi",25.29,103.07,"Rice","Straw addition",NA,NA,"Treatment",12348,12348,NA,994
"995","D309","Unpublished study (2011)","China","Jiangxi",25.37,103.05,"Rice","Straw addition",NA,NA,"Control",8860,8860,NA,995
"996","D309","Unpublished study (2011)","China","Jiangxi",25.37,103.05,"Rice","Straw addition",NA,NA,"Treatment",9105,9105,NA,996
"997","D309","Unpublished study (2011)","China","Jiangxi",25.44,103.91,"Rice","Straw addition",NA,NA,"Control",9894,9894,NA,997
"998","D309","Unpublished study (2011)","China","Jiangxi",25.44,103.91,"Rice","Straw addition",NA,NA,"Treatment",10752,10752,NA,998
"999","D309","Unpublished study (2011)","China","Jiangxi",25.45,103.97,"Rice","Straw addition",NA,NA,"Control",7357,7357,NA,999
"1000","D309","Unpublished study (2011)","China","Jiangxi",25.45,103.97,"Rice","Straw addition",NA,NA,"Treatment",8130,8130,NA,1000
"1001","D309","Unpublished study (2011)","China","Jiangxi",27.72,115.43,"Rice","Straw addition",NA,NA,"Control",4650.875,4650.875,0.125,1001
"1002","D309","Unpublished study (2011)","China","Jiangxi",27.72,115.43,"Rice","Straw addition",NA,NA,"Treatment",3559.75,3559.75,912.25,1002
"1003","D309","Unpublished study (2011)","China","Jiangxi",27.73,115.43,"Rice","Straw addition",NA,NA,"Control",6115.75,6115.75,0.25,1003
"1004","D309","Unpublished study (2011)","China","Jiangxi",27.73,115.43,"Rice","Straw addition",NA,NA,"Treatment",5494,5494,737,1004
"1005","D309","Unpublished study (2011)","China","Jiangxi",28.03,112.7,"Rice","Straw addition",NA,NA,"Control",8043,8043,NA,1005
"1006","D309","Unpublished study (2011)","China","Jiangxi",28.03,112.7,"Rice","Straw addition",NA,NA,"Treatment",8057,8057,NA,1006
"1007","D309","Unpublished study (2011)","China","Jiangxi",28.07,112.61,"Rice","Straw addition",NA,NA,"Control",7985,7985,NA,1007
"1008","D309","Unpublished study (2011)","China","Jiangxi",28.07,112.61,"Rice","Straw addition",NA,NA,"Treatment",8013,8013,NA,1008
"1009","D309","Unpublished study (2011)","China","Jiangxi",28.36,115.92,"Rice","Straw addition",NA,NA,"Control",5770.55,5770.55,899.059461879022,1009
"1010","D309","Unpublished study (2011)","China","Jiangxi",28.36,115.92,"Rice","Straw addition",NA,NA,"Treatment",5659.16666675,5628.8833335,844.47989873411,1010
"1011","D309","Unpublished study (2011)","China","Jiangxi",28.39,112.2,"Rice","Straw addition",NA,NA,"Control",7609,7609,NA,1011
"1012","D309","Unpublished study (2011)","China","Jiangxi",28.39,112.2,"Rice","Straw addition",NA,NA,"Treatment",7770,7770,NA,1012
"1013","D309","Unpublished study (2011)","China","Jiangxi",28.43,111.93,"Rice","Straw addition",NA,NA,"Control",9912,9912,NA,1013
"1014","D309","Unpublished study (2011)","China","Jiangxi",28.43,111.93,"Rice","Straw addition",NA,NA,"Treatment",9251,9251,NA,1014
"1015","D309","Unpublished study (2011)","China","Jiangxi",28.99,119.52,"Rice","Straw addition",NA,NA,"Control",10561,10561,NA,1015
"1016","D309","Unpublished study (2011)","China","Jiangxi",28.99,119.52,"Rice","Straw addition",NA,NA,"Treatment",10625,10625,NA,1016
"1017","D309","Unpublished study (2011)","China","Jiangxi",29,119.53,"Rice","Straw addition",NA,NA,"Control",8658,8658,NA,1017
"1018","D309","Unpublished study (2011)","China","Jiangxi",29,119.53,"Rice","Straw addition",NA,NA,"Treatment",8773,8773,NA,1018
"1019","D309","Unpublished study (2011)","China","Jiangxi",30.43,112.76,"Rice","Straw addition",NA,NA,"Control",8152,8152,NA,1019
"1020","D309","Unpublished study (2011)","China","Jiangxi",30.43,112.76,"Rice","Straw addition",NA,NA,"Treatment",8587,8587,NA,1020
"1021","D309","Unpublished study (2011)","China","Jiangxi",30.56,103.63,"Rice","Straw addition",NA,NA,"Control",8760,8760,NA,1021
"1022","D309","Unpublished study (2011)","China","Jiangxi",30.56,103.63,"Rice","Straw addition",NA,NA,"Treatment",9030,9030,NA,1022
"1023","D309","Unpublished study (2011)","China","Jiangxi",30.59,112.95,"Rice","Straw addition",NA,NA,"Control",8579,8579,NA,1023
"1024","D309","Unpublished study (2011)","China","Jiangxi",30.59,112.95,"Rice","Straw addition",NA,NA,"Treatment",8659,8659,NA,1024
"1025","D309","Unpublished study (2011)","China","Jiangxi",30.6,103.66,"Rice","Straw addition",NA,NA,"Control",8355,8355,NA,1025
"1026","D309","Unpublished study (2011)","China","Jiangxi",30.6,103.66,"Rice","Straw addition",NA,NA,"Treatment",8925,8925,NA,1026
"1027","D309","Unpublished study (2011)","China","Jiangxi",31,103.82,"Rice","Straw addition",NA,NA,"Control",7650,7650,NA,1027
"1028","D309","Unpublished study (2011)","China","Jiangxi",31,103.82,"Rice","Straw addition",NA,NA,"Treatment",7905,7905,NA,1028
"1029","D309","Unpublished study (2011)","China","Jiangxi",31.01,112.32,"Rice","Straw addition",NA,NA,"Control",9814,9814,NA,1029
"1030","D309","Unpublished study (2011)","China","Jiangxi",31.01,112.32,"Rice","Straw addition",NA,NA,"Treatment",11019,11019,NA,1030
"1031","D309","Unpublished study (2011)","China","Jiangxi",31.02,103.99,"Rice","Straw addition",NA,NA,"Control",7245,7245,NA,1031
"1032","D309","Unpublished study (2011)","China","Jiangxi",31.02,103.99,"Rice","Straw addition",NA,NA,"Treatment",7605,7605,NA,1032
"1033","D309","Unpublished study (2011)","China","Jiangxi",31.04,119.77,"Rice","Straw addition",NA,NA,"Control",6356,6356,NA,1033
"1034","D309","Unpublished study (2011)","China","Jiangxi",31.04,119.77,"Rice","Straw addition",NA,NA,"Treatment",6678,6678,NA,1034
"1035","D309","Unpublished study (2011)","China","Jiangxi",31.05,112.33,"Rice","Straw addition",NA,NA,"Control",8471,8471,NA,1035
"1036","D309","Unpublished study (2011)","China","Jiangxi",31.05,112.33,"Rice","Straw addition",NA,NA,"Treatment",8293,8293,NA,1036
"1037","D309","Unpublished study (2011)","China","Jiangxi",31.06,119.84,"Rice","Straw addition",NA,NA,"Control",7799,7799,NA,1037
"1038","D309","Unpublished study (2011)","China","Jiangxi",31.06,119.84,"Rice","Straw addition",NA,NA,"Treatment",7647,7647,NA,1038
"1039","D309","Unpublished study (2011)","China","Jiangxi",32.01,119.46,"Rice","Straw addition",NA,NA,"Control",8558,8558,NA,1039
"1040","D309","Unpublished study (2011)","China","Jiangxi",32.01,119.46,"Rice","Straw addition",NA,NA,"Treatment",8900,8900,NA,1040
"1041","D309","Unpublished study (2011)","China","Jiangxi",32.49,119.99,"Rice","Straw addition",NA,NA,"Control",8890,8890,NA,1041
"1042","D309","Unpublished study (2011)","China","Jiangxi",32.49,119.99,"Rice","Straw addition",NA,NA,"Treatment",9016,9016,NA,1042
"1043","D309","Unpublished study (2011)","China","Jiangxi",32.51,120.01,"Rice","Straw addition",NA,NA,"Control",9081,9081,NA,1043
"1044","D309","Unpublished study (2011)","China","Jiangxi",32.51,120.01,"Rice","Straw addition",NA,NA,"Treatment",9183,9183,NA,1044
"1045","D309","Unpublished study (2011)","China","Sichuan",30.56,103.63,"Rice","Straw addition",NA,NA,"Control",8760,8760,NA,1045
"1046","D309","Unpublished study (2011)","China","Sichuan",30.56,103.63,"Rice","Straw addition",NA,NA,"Treatment",8895,8895,NA,1046
"1047","D309","Unpublished study (2011)","China","Sichuan",30.6,103.66,"Rice","Straw addition",NA,NA,"Control",8355,8355,NA,1047
"1048","D309","Unpublished study (2011)","China","Sichuan",30.6,103.66,"Rice","Straw addition",NA,NA,"Treatment",8895,8895,NA,1048
"1049","D309","Unpublished study (2011)","China","Sichuan",30.69,103.6,"Rice","Straw addition",NA,NA,"Control",6337,6337,NA,1049
"1050","D309","Unpublished study (2011)","China","Sichuan",30.69,103.6,"Rice","Straw addition",NA,NA,"Treatment",6520,6520,NA,1050
"1051","D309","Unpublished study (2011)","China","Sichuan",30.69,103.73,"Rice","Straw addition",NA,NA,"Control",6337,6337,NA,1051
"1052","D309","Unpublished study (2011)","China","Sichuan",30.69,103.73,"Rice","Straw addition",NA,NA,"Treatment",6370,6370,NA,1052
"1053","D309","Unpublished study (2011)","China","Sichuan",31,103.82,"Rice","Straw addition",NA,NA,"Control",7650,7650,NA,1053
"1054","D309","Unpublished study (2011)","China","Sichuan",31,103.82,"Rice","Straw addition",NA,NA,"Treatment",7605,7605,NA,1054
"1055","D309","Unpublished study (2011)","China","Sichuan",31.02,103.99,"Rice","Straw addition",NA,NA,"Control",7245,7245,NA,1055
"1056","D309","Unpublished study (2011)","China","Sichuan",31.02,103.99,"Rice","Straw addition",NA,NA,"Treatment",7080,7080,NA,1056
"1057","D309","Unpublished study (2011)","China","Yunnan",25.29,103.07,"Rice","Straw addition",NA,NA,"Control",11869.26667,11869.26667,NA,1057
"1058","D309","Unpublished study (2011)","China","Yunnan",25.29,103.07,"Rice","Straw addition",NA,NA,"Treatment",13016.5,13016.5,NA,1058
"1059","D309","Unpublished study (2011)","China","Yunnan",25.37,103.05,"Rice","Straw addition",NA,NA,"Control",8860,8860,NA,1059
"1060","D309","Unpublished study (2011)","China","Yunnan",25.37,103.05,"Rice","Straw addition",NA,NA,"Treatment",9060.133333,9060.133333,NA,1060
"1061","D309","Unpublished study (2011)","China","Yunnan",25.44,103.91,"Rice","Straw addition",NA,NA,"Control",9893.866667,9893.866667,NA,1061
"1062","D309","Unpublished study (2011)","China","Yunnan",25.44,103.91,"Rice","Straw addition",NA,NA,"Treatment",10349.63333,10349.63333,NA,1062
"1063","D309","Unpublished study (2011)","China","Yunnan",25.45,103.97,"Rice","Straw addition",NA,NA,"Control",7357.033333,7357.033333,NA,1063
"1064","D309","Unpublished study (2011)","China","Yunnan",25.45,103.97,"Rice","Straw addition",NA,NA,"Treatment",7462.633333,7462.633333,NA,1064
"1065","D309","Unpublished study (2011)","China","Zhejiang",28.99,119.52,"Rice","Straw addition",NA,NA,"Control",10560.8,10560.8,NA,1065
"1066","D309","Unpublished study (2011)","China","Zhejiang",28.99,119.52,"Rice","Straw addition",NA,NA,"Treatment",10453.8,10453.8,NA,1066
"1067","D309","Unpublished study (2011)","China","Zhejiang",29,119.53,"Rice","Straw addition",NA,NA,"Control",8657.5,8657.5,NA,1067
"1068","D309","Unpublished study (2011)","China","Zhejiang",29,119.53,"Rice","Straw addition",NA,NA,"Treatment",7873.2,7873.2,NA,1068
"1069","D309","Unpublished study (2011)","China","Zhejiang",29.05,119.46,"Rice","Straw addition",NA,NA,"Control",9609.325,9609.4,549.392093401121,1069
"1070","D309","Unpublished study (2011)","China","Zhejiang",29.05,119.46,"Rice","Straw addition",NA,NA,"Treatment",9431.25000075,9613.383335,666.538846084612,1070
"1071","D309","Unpublished study (2011)","China","Zhejiang",30.23,120.15,"Rice","Straw addition",NA,NA,"Control",7798.95,7798.95,0.0500000000001819,1071
"1072","D309","Unpublished study (2011)","China","Zhejiang",30.23,120.15,"Rice","Straw addition",NA,NA,"Treatment",7551.2833335,7551.2833335,95.7166665,1072
"1073","D309","Unpublished study (2011)","China","Zhejiang",31.04,119.77,"Rice","Straw addition",NA,NA,"Control",6355.566667,6355.566667,NA,1073
"1074","D309","Unpublished study (2011)","China","Zhejiang",31.04,119.77,"Rice","Straw addition",NA,NA,"Treatment",6155.566667,6155.566667,NA,1074
"1075","D309","Unpublished study (2011)","China","Zhejiang",31.04,119.99,"Rice","Straw addition",NA,NA,"Control",6355.7833335,6355.7833335,0.216666499999974,1075
"1076","D309","Unpublished study (2011)","China","Zhejiang",31.04,119.99,"Rice","Straw addition",NA,NA,"Treatment",6416.7833335,6416.7833335,261.2166665,1076
"1077","D309","Unpublished study (2011)","China","Zhejiang",31.06,119.84,"Rice","Straw addition",NA,NA,"Control",7798.9,7798.9,NA,1077
"1078","D309","Unpublished study (2011)","China","Zhejiang",31.06,119.84,"Rice","Straw addition",NA,NA,"Treatment",7455.566667,7455.566667,NA,1078
"1079","D309","Unpublished study (2012)","China","Jiangxi",27.74,115.45,"Rice","Straw addition",NA,NA,"Control",5542.75,5542.75,0.25,1079
"1080","D309","Unpublished study (2012)","China","Jiangxi",27.74,115.45,"Rice","Straw addition",NA,NA,"Treatment",6484,6484,210,1080
"1081","D309","Unpublished study (2012)","China","Jiangxi",27.75,115.44,"Rice","Straw addition",NA,NA,"Control",6339.75,6339.75,0.25,1081
"1082","D309","Unpublished study (2012)","China","Jiangxi",27.75,115.44,"Rice","Straw addition",NA,NA,"Treatment",7554.25,7554.25,190.75,1082
"1083","D309","Unpublished study (2012)","China","Jilin",45.00363928,124.746374,"Single Rice","Straw addition",NA,NA,"Control",7135,7135,NA,1083
"1084","D309","Unpublished study (2012)","China","Jilin",45.00363928,124.746374,"Single Rice","Straw addition",NA,NA,"Treatment",7067,7067,NA,1084
"1085","D309","Unpublished study (2012)","China","Jilin",45.00905918,124.7251125,"Single Rice","Straw addition",NA,NA,"Control",7767,7767,550,1085
"1086","D309","Unpublished study (2012)","China","Jilin",45.00905918,124.7251125,"Single Rice","Straw addition",NA,NA,"Treatment",8058,8058,675,1086
"1087","D309","Wang  et al. (2007)","China","Zhejiang",30.63261672,120.7539185,"Rice","Straw addition",NA,NA,"Control",9000,9000,0,1087
"1088","D309","Wang  et al. (2007)","China","Zhejiang",30.63261672,120.7539185,"Rice","Straw addition",NA,NA,"Treatment",9268.75,9300,59.8391942347711,1088
"1089","D309","Wang  et al. (2008)","China","Anhui",30.73678956,117.5672218,"Rice","Straw addition",NA,NA,"Control",7497,7497,NA,1089
"1090","D309","Wang  et al. (2008)","China","Anhui",30.73678956,117.5672218,"Rice","Straw addition",NA,NA,"Treatment",8272,8272,NA,1090
"1091","D309","Wang  et al. (2008)","China","Heilongjiang",47.14040223,127.1909523,"Rice","Straw addition",NA,NA,"Control",7958,7958,0,1091
"1092","D309","Wang  et al. (2008)","China","Heilongjiang",47.14040223,127.1909523,"Rice","Straw addition",NA,NA,"Treatment",8520.66666666667,8762,368.460913048378,1092
"1093","D309","Wang  et al. (2008)","China","Heilongjiang",47.14040223,127.1909523,"Single Rice","Straw addition",NA,NA,"Control",7958,7958,NA,1093
"1094","D309","Wang  et al. (2008)","China","Heilongjiang",47.14040223,127.1909523,"Single Rice","Straw addition",NA,NA,"Treatment",8351,8351,NA,1094
"1095","D309","Wang  et al. (2010)","China","Guizhou",28.11,106.8,"Rice","Straw addition",NA,NA,"Control",10330.5,10330.5,NA,1095
"1096","D309","Wang  et al. (2010)","China","Guizhou",28.11,106.8,"Rice","Straw addition",NA,NA,"Treatment",9177,9177,NA,1096
"1097","D309","Wang  et al. (2010)","China","Hubei",30.12411995,111.7836398,"Rice","Straw addition",NA,NA,"Control",10318,10182,136,1097
"1098","D309","Wang  et al. (2010)","China","Hubei",30.12411995,111.7836398,"Rice","Straw addition",NA,NA,"Treatment",10117.3333333333,10186,461.427254408657,1098
"1099","D309","Wang  et al. (2010)","China","Hunan",28.91666667,111.45,"Rice","Straw addition",NA,NA,"Control",4861,4861,NA,1099
"1100","D309","Wang  et al. (2010)","China","Hunan",28.91666667,111.45,"Rice","Straw addition",NA,NA,"Treatment",8198,8198,NA,1100
"1101","D309","Wang  et al. (2010)","China","Hunan",28.91753667,111.4563452,"Rice","Straw addition",NA,NA,"Control",5377,5377,NA,1101
"1102","D309","Wang  et al. (2010)","China","Hunan",28.91753667,111.4563452,"Rice","Straw addition",NA,NA,"Treatment",6307,6307,NA,1102
"1103","D309","Wang  et al. (2010)","China","Jiangsu",32.13643567,114.0526523,"Rice","Straw addition",NA,NA,"Control",8020,8020,NA,1103
"1104","D309","Wang  et al. (2010)","China","Jiangsu",32.13643567,114.0526523,"Rice","Straw addition",NA,NA,"Treatment",8485,8485,NA,1104
"1105","D309","Wang  et al. (2010)","China","Jiangxi",28.71643511,115.7545665,"Rice","Straw addition",NA,NA,"Control",6435.85,6435.85,174.55,1105
"1106","D309","Wang  et al. (2010)","China","Jiangxi",28.71643511,115.7545665,"Rice","Straw addition",NA,NA,"Treatment",6647.34,6647.34,132.89,1106
"1107","D309","Wang  et al. (2010)","China","Jiangxi",32.10020648,114.0725443,"Rice","Straw addition",NA,NA,"Control",7824.24,7824.24,241.19,1107
"1108","D309","Wang  et al. (2010)","China","Jiangxi",32.10020648,114.0725443,"Rice","Straw addition",NA,NA,"Treatment",8241.265,8241.265,39.7150000000001,1108
"1109","D309","Wang  et al. (2012)","China","Zhejiang",28.71066621,120.7647328,"Rice","Straw addition",NA,NA,"Control",5619,5619,0,1109
"1110","D309","Wang  et al. (2012)","China","Zhejiang",28.71066621,120.7647328,"Rice","Straw addition",NA,NA,"Treatment",6092,5783,330.576264524038,1110
